label,mf_thresh,ef_thresh,mf_extra_pct,ef_extra_pct,cfd_entry_thresh,total_injected_usd,total_gold_deployed,final_oz,avg_cost_usd,last_price,gold_value_usd,dca_cash_usd,cfd_capital_usd,total_assets_usd,total_return_usd,return_pct,n_buys,n_weekly_buys,n_mod_fear_buys,n_ext_fear_buys,n_sells,total_sell_proceeds,cfd_n_trades,cfd_n_tp,cfd_n_sl,cfd_win_rate_pct,cfd_pnl_usd
mf45_ef20_mp1.25_ep17.5_cfd25,45,20,1.25,17.5,25,13000.0,14495.23,3.8723,2405.6,4319.19,16725.14,2546.11,1680.83,20952.08,7952.08,61.17,314,198,91,25,41,5041.34,16,7,8,43.8,680.83
mf45_ef20_mp1.00_ep20.0_cfd25,45,20,1.0,20.0,25,13000.0,14702.14,3.9311,2424.85,4319.19,16978.97,2289.2,1680.83,20949.0,7949.0,61.15,314,198,91,25,41,4991.34,16,7,8,43.8,680.83
mf45_ef20_mp1.50_ep15.0_cfd25,45,20,1.5,15.0,25,13000.0,14262.44,3.8084,2385.37,4319.19,16449.37,2819.95,1680.83,20950.15,7950.15,61.15,314,198,91,25,41,5082.39,16,7,8,43.8,680.83
mf35_ef20_mp1.50_ep20.0_cfd30,35,20,1.5,20.0,30,13000.0,14559.75,3.9126,2433.07,4319.19,16899.3,2322.94,1721.79,20944.03,7944.03,61.11,314,226,63,25,41,4882.69,6,4,2,66.7,721.79
mf40_ef20_mp1.25_ep20.0_cfd25,40,20,1.25,20.0,25,13000.0,14678.69,3.9225,2425.59,4319.19,16941.95,2320.35,1680.83,20943.13,7943.13,61.1,314,212,77,25,41,4999.04,16,7,8,43.8,680.83
mf40_ef20_mp1.50_ep15.0_cfd35,40,20,1.5,15.0,35,13000.0,13941.33,3.7186,2388.7,4319.19,16061.38,3042.0,1835.91,20939.28,7939.28,61.07,314,212,77,25,41,4983.32,4,4,0,100.0,835.91
mf35_ef20_mp2.00_ep17.5_cfd25,35,20,2.0,17.5,25,13000.0,14379.15,3.8669,2414.21,4319.19,16701.85,2553.19,1680.83,20935.87,7935.87,61.05,314,226,63,25,41,4932.34,16,7,8,43.8,680.83
mf35_ef20_mp1.50_ep17.5_cfd35,35,20,1.5,17.5,35,13000.0,14128.32,3.793,2417.27,4319.19,16382.9,2714.71,1835.91,20933.52,7933.52,61.03,314,226,63,25,41,4843.03,4,4,0,100.0,835.91
mf40_ef20_mp1.50_ep17.5_cfd25,40,20,1.5,17.5,25,13000.0,14420.94,3.8492,2406.82,4319.19,16625.35,2613.49,1680.83,20919.66,7919.66,60.92,314,212,77,25,41,5034.42,16,7,8,43.8,680.83
mf45_ef20_mp2.00_ep10.0_cfd25,45,20,2.0,10.0,25,13000.0,13706.45,3.6622,2342.33,4319.19,15817.55,3421.15,1680.83,20919.53,7919.53,60.92,314,198,91,25,41,5127.6,16,7,8,43.8,680.83
